correlation,p_value,scores_based_on_emp_rank,periods_considered,harmonics_considered,ground_truth_type
0.8377891734865528,0.00034994619213749413,"[0.0, 0.016232845229816828, 0.1682155904915404, 0.24747777125114154, 0.24757561661304586, 0.4107585374652832, 0.2619854496886592, 0.5711110667554552, 0.47504093469304437, 0.40586306551576773, 0.7105309430242306, 0.3250064083278053, 1.0]",4,6,Intervals - Ranking Order
0.8335845740930136,0.00039940779366422126,"[0.0, 0.016232845229816828, 0.18642085975087627, 0.2545503859568131, 0.2656488641481806, 0.4107585374652832, 0.2619854496886592, 0.5798302526970217, 0.48855630498656216, 0.40586306551576773, 0.7105309430242306, 0.3250064083278053, 1.0]",5,6,Intervals - Ranking Order
0.8538556527627501,0.0002036962763126523,"[0.0, 0.051094529619065174, 0.18642085975087627, 0.3048451142518832, 0.29061178095859186, 0.4107585374652832, 0.2619854496886592, 0.5953736326700814, 0.48855630498656216, 0.4601841482263195, 0.7105309430242306, 0.37613118224835457, 1.0]",6,6,Intervals - Ranking Order
0.8724856981831908,9.98882910918819e-05,"[0.0, 0.07858174822774364, 0.1972232958722922, 0.3048451142518832, 0.29061178095859186, 0.44354970133092736, 0.2619854496886592, 0.6162142237652255, 0.5227266979748908, 0.4601841482263195, 0.7105309430242306, 0.4414874544137311, 1.0]",7,6,Intervals - Ranking Order
0.911336678183654,1.4623478615875987e-05,"[0.0, 0.0, 0.1972232958722922, 0.3048451142518832, 0.3612329565818585, 0.5136284192908429, 0.33260907581674265, 0.7332998816569258, 0.5227266979748908, 0.4601841482263195, 0.7105309430242306, 0.6720998529854363, 1.0]",8,6,Intervals - Ranking Order
0.9075228293151193,1.829705632771557e-05,"[0.0, 0.0, 0.33781317170725156, 0.3048451142518832, 0.3612329565818585, 0.5136284192908429, 0.33260907581674265, 0.7332998816569258, 0.5227266979748908, 0.5191520050346757, 0.7722757353389025, 0.6720998529854363, 1.0]",9,6,Intervals - Ranking Order
0.8854645242600996,5.680230174221531e-05,"[0.0, 0.0, 0.46492098332991105, 0.3048451142518832, 0.3612329565818585, 0.5136284192908429, 0.33260907581674265, 0.7332998816569258, 0.6941749936061287, 0.5191520050346757, 0.7999491506138479, 0.6720998529854363, 1.0]",10,6,Intervals - Ranking Order
0.8867575443817718,5.3501373690174726e-05,"[0.0, 0.0, 0.3928659780135614, 0.36853847149497165, 0.33067783816732144, 0.4830974107647633, 0.44968291304994057, 0.6872768276660765, 0.7798904935024401, 0.5871392172568353, 1.0, 0.587434022999988, 0.9100526098667907]",11,6,Intervals - Ranking Order
0.8441774514684914,0.00028421962692055464,"[0.0, 0.0, 0.1619325111554163, 0.6570212542781235, 0.33496572827931015, 0.5381202531661156, 0.4424578114041708, 0.7054378627139725, 0.7769987764419, 0.5908020096217347, 1.0, 0.5789753317455232, 0.9187544535676323]",12,6,Intervals - Ranking Order
0.8409725588833232,0.0003158373743671332,"[0.0, 0.0, 0.1619325111554163, 0.6570212542781235, 0.33496572827931015, 0.5381202531661156, 0.6164376516550553, 0.7420023096987398, 0.7769987764419, 0.5908020096217347, 1.0, 0.5789753317455232, 0.9187544535676323]",13,6,Intervals - Ranking Order
0.8327899941947265,0.0004093477407182991,"[0.0, 0.0, 0.1619325111554163, 0.6570212542781235, 0.6289589343179783, 0.5381202531661156, 0.6164376516550553, 0.7420023096987398, 0.7769987764419, 0.7348639054657354, 1.0, 0.5789753317455232, 0.9187544535676323]",14,6,Intervals - Ranking Order
0.7453438870286886,0.0034533759127143957,"[0.0, 0.0, 0.21403131461115465, 0.5906947466718392, 0.8684057437091931, 0.8170425923386551, 0.47360840870264476, 0.8206808392898405, 0.7610268898144266, 0.6698708178594776, 1.0, 0.5674494918796806, 0.9668175448487267]",15,6,Intervals - Ranking Order
0.7769184909757587,0.0017814435015742933,"[0.0, 0.0, 0.21403131461115465, 0.321046971916732, 0.8684057437091931, 0.8170425923386551, 0.47360840870264476, 0.8206808392898405, 0.7610268898144266, 0.6698708178594776, 1.0, 0.5674494918796806, 0.9668175448487267]",16,6,Intervals - Ranking Order
0.7410644291679982,0.003750838435997331,"[0.0, 0.0, 0.19773095623987033, 0.29659643435980554, 0.7543183268642553, 1.0, 0.424174018144876, 0.7519088950786668, 0.8020779336667976, 0.6070459505571923, 0.9112372690514808, 0.5435422771564832, 0.9469886286680371]",17,6,Intervals - Ranking Order
0.6928437942470729,0.008656982085736755,"[0.0, 0.0, 0.1661855516896957, 0.24927832753454357, 0.6339766401954395, 0.8404629950208381, 0.35650256570006583, 1.0, 0.6741168223697219, 0.5101996577205695, 0.7658612043216169, 0.4568271701793844, 0.8100072366399372]",18,6,Intervals - Ranking Order
0.7691325974330483,0.0021167425281842832,"[0.0, 0.0, 0.19014065902451152, 0.2852109885367673, 0.7714723460420755, 0.7510911651886049, 0.41667268741610675, 0.9369182456790782, 0.684325451332097, 0.5368162410008785, 0.8326964064099095, 0.5522447525708161, 1.0]",19,6,Intervals - Ranking Order
