method,r_names_used,distributive,weights_on_harmonics,weights_on_regions,cap,normed_column,harmonics_considered,correlation,p_value,final_ranking_correlate,cleaned_method_name,exp_with,compared_with
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,2,0.8871702805064688,5.2480743403727885e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2258064516129031, 0.0, 0.4516129032258063, 0.8602150537634407, 1.0, 0.7956989247311826, 1.0, 0.7956989247311826]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,3,0.903150474431268,2.338705435074073e-05,"[0.0, 0.0, 0.0, 0.125, 0.21875, 0.4419642857142858, 0.2125, 0.6124999999999999, 1.0, 0.9723214285714288, 0.8187499999999999, 0.8598214285714285, 0.7721590909090909]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,4,0.9161948783339416,1.0829334536017327e-05,"[0.0, 0.0, 0.0684931506849315, 0.1552511415525114, 0.228310502283105, 0.391906786332861, 0.2031963470319635, 0.5871020203915683, 1.0, 0.8765548732483076, 0.7938950397197725, 0.8825381829633131, 0.8022562449637392]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,5,0.8772486995080653,8.179400047970893e-05,"[0.0, 0.019861232094009, 0.1166563133136802, 0.1831826426585946, 0.1518729408417652, 0.2858140629406891, 0.1527640949338349, 0.5304096959710197, 1.0, 0.8396906151489979, 0.7748191386930585, 0.7308088997576209, 0.7181934386814437]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,6,0.875810381962148,8.695578328491845e-05,"[0.0281691102580764, 0.0, 0.1413188191357587, 0.216366158113731, 0.2119408203482187, 0.3838713956126979, 0.207227200978147, 0.5814134124798697, 1.0, 0.8365882537180135, 0.767026956390121, 0.693083894035454, 0.7148201118837054]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,7,0.875877378775219,8.670970377716258e-05,"[0.0597820688143987, 0.0, 0.0933270756868747, 0.1863151656176436, 0.208473543484845, 0.3817530829113641, 0.1921915429596457, 0.544676859747401, 1.0, 0.7570313795348769, 0.7169227399773391, 0.6990321881107958, 0.7175825408808916]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,8,0.8759358216691863,8.64954981724981e-05,"[0.0582674102161888, 0.0, 0.107759701982972, 0.1883529183187834, 0.2194284129376298, 0.3696576578678933, 0.2072130782763586, 0.5495993034983947, 1.0, 0.7082718141277734, 0.7068304578969555, 0.7054736357026261, 0.7007049624174895]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,9,0.8936736357587549,3.835393171872677e-05,"[0.0599986499821055, 0.0, 0.095361369290963, 0.1739905479749152, 0.2779138614419261, 0.3789734368312422, 0.2725762543536753, 0.5728900074370818, 1.0, 0.7041692391131283, 0.7072453929812124, 0.7000567228265755, 0.7536759830180814]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,10,0.881097460564705,6.917775353845913e-05,"[0.0869437188079895, 0.0, 0.0878763074404083, 0.1904934214510949, 0.274604301680809, 0.3491611446731482, 0.257384037643307, 0.5475892884269283, 1.0, 0.7275278072325548, 0.7134306028946682, 0.6646560049670699, 0.7383177530523019]",Method E,Intervals,
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,11,0.8871321741997855,5.257431464103664e-05,"[0.1001306024081928, 0.0, 0.0887643117104119, 0.1780976893210623, 0.2846678625269275, 0.3405455597669274, 0.2593118309918304, 0.5719099104296574, 1.0, 0.735923236702946, 0.7542058060994373, 0.6901562447318195, 0.7497304900546329]",Method E,Intervals,
