method,r_names_used,distributive,weights_on_harmonics,weights_on_regions,cap,normed_column,harmonics_considered,correlation,p_value,final_ranking_correlate,compared_with,cleaned_method_name
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,2,0.0732463161594679,0.8120354403318856,"[0.2560975609756097, 0.2560975609756097, 0.1280487804878048, 0.5670731707317074, 0.2560975609756097, 0.4512195121951219, 0.4512195121951219, 0.2560975609756097, 0.8719512195121949, 0.1280487804878048, 0.8719512195121949, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,3,0.2099627109681623,0.4911448953320357,"[0.1150793650793649, 0.1150793650793649, 0.0861678004535148, 0.3633786848072563, 0.1904761904761904, 0.1865079365079363, 0.1865079365079363, 0.1904761904761904, 0.8917233560090703, 0.0861678004535148, 0.8917233560090703, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,4,0.1881809405778948,0.5381115864062984,"[0.1479729869271598, 0.1479729869271598, 0.0763682614197744, 0.3481540141104351, 0.1886784659548544, 0.2362817785671506, 0.2362817785671506, 0.1886784659548544, 0.8711060817869701, 0.0763682614197744, 0.8711060817869705, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,5,0.1185541296725005,0.6996835471249646,"[0.2134432237560609, 0.2134432237560609, 0.1024488594617024, 0.4672078320360239, 0.2554659674942698, 0.3853047997744684, 0.3853047997744684, 0.2554659674942696, 0.8475383671666414, 0.1024488594617025, 0.8475383671666414, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,6,0.1427024808427456,0.6418811003490795,"[0.1981854451027551, 0.198185445102755, 0.1182133619739281, 0.4166639911755069, 0.2441036365553697, 0.3222545516547179, 0.3222545516547179, 0.2441036365553697, 0.8710323838834266, 0.1182133619739281, 0.8710323838834266, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,7,0.1805598350574702,0.5549849823420354,"[0.1603407847027545, 0.1603407847027545, 0.1130938086394322, 0.3516536782459322, 0.2121616923169901, 0.2617365233496267, 0.2617365233496269, 0.2121616923169901, 0.8899323632190071, 0.1130938086394322, 0.8899323632190068, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,8,0.186602056064337,0.541589096711732,"[0.1587729385674112, 0.1587729385674112, 0.0904043012263625, 0.3020432710154009, 0.2058285651892367, 0.2455895154698606, 0.2455895154698606, 0.2058285651892369, 0.8761695056479286, 0.0904043012263625, 0.8761695056479286, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,9,0.243196859109696,0.4233421521852958,"[0.0893907719345695, 0.0893907719345695, 0.0018778761263899, 0.1698424378712935, 0.1450252828880144, 0.112491292368898, 0.112491292368898, 0.1450252828880147, 0.852800897340045, 0.0018778761263899, 0.852800897340045, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,10,0.2420221772265264,0.4256549891006816,"[0.0803029535434506, 0.0803029535434506, 0.0059493329756672, 0.2343049079849772, 0.1465747074074447, 0.143729405721963, 0.143729405721963, 0.1465747074074444, 0.8460109347514694, 0.0059493329756672, 0.8460109347514688, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,11,0.2387061985718139,0.4322177427651465,"[0.1059530401202229, 0.1059530401202226, 0.0, 0.2154461972074356, 0.1536792097708587, 0.1624433276817256, 0.1624433276817253, 0.1536792097708587, 0.8274055594960343, 0.0, 0.8274055594960343, 1.0, 0.018900619038163]",numbered_rankings,Method E
