method,r_names_used,distributive,weights_on_harmonics,weights_on_regions,normed_column,harmonics_considered,correlation,p_value,final_ranking_correlate,compared_with,cleaned_method_name
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,2,0.07324631615946797,0.8120354403318856,"[0.2560975609756097, 0.2560975609756097, 0.1280487804878048, 0.5670731707317074, 0.2560975609756097, 0.4512195121951219, 0.4512195121951219, 0.2560975609756097, 0.8719512195121949, 0.1280487804878048, 0.8719512195121949, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,3,0.20996271096816235,0.4911448953320357,"[0.1150793650793649, 0.1150793650793649, 0.0861678004535148, 0.3633786848072563, 0.1904761904761904, 0.1865079365079363, 0.1865079365079363, 0.1904761904761904, 0.8917233560090703, 0.0861678004535148, 0.8917233560090703, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,4,0.18818094057789486,0.5381115864062984,"[0.1479729869271598, 0.1479729869271598, 0.0763682614197744, 0.3481540141104351, 0.1886784659548544, 0.2362817785671506, 0.2362817785671506, 0.1886784659548544, 0.8711060817869701, 0.0763682614197744, 0.8711060817869705, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,5,0.11855412967250031,0.699683547124965,"[0.2134432237560611, 0.2134432237560609, 0.1024488594617024, 0.4672078320360239, 0.2554659674942698, 0.3853047997744684, 0.3853047997744684, 0.2554659674942696, 0.8475383671666417, 0.1024488594617025, 0.8475383671666414, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,6,0.14270248084274567,0.6418811003490795,"[0.1981854451027549, 0.1981854451027549, 0.118213361973928, 0.416663991175507, 0.2441036365553697, 0.3222545516547178, 0.3222545516547179, 0.2441036365553697, 0.8710323838834266, 0.118213361973928, 0.8710323838834266, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,7,0.18055983505747025,0.5549849823420354,"[0.1603407847027545, 0.1603407847027545, 0.1130938086394322, 0.3516536782459322, 0.2121616923169901, 0.2617365233496267, 0.2617365233496269, 0.2121616923169901, 0.8899323632190071, 0.1130938086394322, 0.8899323632190068, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,8,0.18660205606433708,0.541589096711732,"[0.1587729385674112, 0.1587729385674112, 0.0904043012263625, 0.302043271015401, 0.2058285651892368, 0.2455895154698607, 0.2455895154698607, 0.2058285651892368, 0.8761695056479293, 0.0904043012263625, 0.8761695056479293, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,9,0.24319685910969582,0.42334215218529603,"[0.0893907719345698, 0.0893907719345698, 0.0018778761263901, 0.1698424378712935, 0.1450252828880145, 0.1124912923688982, 0.112491292368898, 0.1450252828880147, 0.8528008973400459, 0.0018778761263899, 0.8528008973400459, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,10,0.2420221772265267,0.42565498910068134,"[0.0803029535434502, 0.0803029535434507, 0.0059493329756672, 0.2343049079849768, 0.1465747074074442, 0.1437294057219628, 0.1437294057219626, 0.1465747074074442, 0.8460109347514693, 0.005949332975667, 0.8460109347514693, 1.0, 0.0]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,11,0.2387061985718139,0.4322177427651465,"[0.1059530401202229, 0.1059530401202226, 0.0, 0.2154461972074356, 0.1536792097708587, 0.1624433276817256, 0.1624433276817253, 0.1536792097708587, 0.8274055594960343, 0.0, 0.8274055594960343, 1.0, 0.018900619038163]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,12,0.25475998896812624,0.4009149271044601,"[0.0961374765460326, 0.096137476546033, 0.0, 0.1561504992781081, 0.1288075066577064, 0.1226287978602947, 0.1226287978602947, 0.1288075066577067, 0.833320375129694, 0.0, 0.833320375129694, 1.0, 0.02525197863811]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,13,0.24625582201290716,0.41734900649297857,"[0.1071968967886694, 0.1071968967886691, 3.3079089223889427e-16, 0.1884329611836417, 0.1255696393916004, 0.1521446539321713, 0.1521446539321716, 0.1255696393916007, 0.8270902083922086, 0.0, 0.8270902083922086, 1.0, 0.0284489163433242]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,14,0.24707463969085267,0.41575207217769505,"[0.1012990932824573, 0.1012990932824573, 0.0, 0.1756648692705824, 0.1038106369714562, 0.1652441337241909, 0.1652441337241909, 0.1038106369714562, 0.8321438678333452, 0.0, 0.8321438678333452, 1.0, 0.0229436404452754]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,15,0.24484480359775396,0.4201081484238247,"[0.0928009884066319, 0.0928009884066319, 3.8599182604684253e-16, 0.210277760851511, 0.1268225787645882, 0.1758223746035471, 0.1758223746035471, 0.1268225787645882, 0.8175021916981681, 0.0, 0.8175021916981673, 1.0, 0.0161930209909849]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,16,0.24642205538950296,0.4170245527054713,"[0.0917089421114144, 0.091708942111414, 0.0, 0.1714221059023033, 0.1028046823372891, 0.1655503328555603, 0.1655503328555603, 0.1028046823372891, 0.8285051635395081, 0.0, 0.8285051635395072, 1.0, 0.0115029938976951]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,17,0.2436906718912228,0.4223717651660655,"[0.1009171442294183, 0.1009171442294175, 0.0, 0.1814378160374145, 0.1066968342122365, 0.1685613267828246, 0.1685613267828246, 0.1066968342122374, 0.8171731901337315, 0.0, 0.8171731901337306, 1.0, 0.0181843557329235]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,18,0.25767677632651387,0.39535612535010806,"[0.0988058861095481, 0.0988058861095481, 0.0, 0.1685798220607512, 0.1117486813325377, 0.159585913172872, 0.1595859131728711, 0.1117486813325377, 0.8133015212795264, 0.0, 0.8133015212795264, 1.0, 0.0365978428272699]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,19,0.24623375023358485,0.4173920956959066,"[0.0935907969596224, 0.0935907969596234, 0.0, 0.1658773954630408, 0.0902874288959274, 0.1596432479695824, 0.1596432479695824, 0.0902874288959274, 0.8216117414942928, 0.0, 0.8216117414942928, 1.0, 0.0125464370922558]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,20,0.24630790105572542,0.41724734508568967,"[0.1055346087968269, 0.1055346087968269, 0.0, 0.1884582423312676, 0.1178560491199353, 0.170996236682952, 0.170996236682951, 0.1178560491199353, 0.8046769812656694, 0.0, 0.8046769812656694, 1.0, 0.0283768835532292]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,21,0.24734830928829327,0.4152190258164537,"[0.1019124693846487, 0.1019124693846498, 0.0, 0.1652772531772439, 0.1105274833704696, 0.1632423222750112, 0.1632423222750112, 0.1105274833704696, 0.8084341116177943, 0.0, 0.8084341116177933, 1.0, 0.0225363286376628]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,22,0.24394855501158225,0.4218654451558632,"[0.1135343028523609, 0.1135343028523609, 0.0, 0.1599786086978852, 0.1162257786840281, 0.165811653162872, 0.165811653162872, 0.1162257786840281, 0.7980998968865619, 0.0, 0.7980998968865619, 1.0, 0.0283200428445372]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,23,0.24552022898646644,0.4187862617636841,"[0.1212102658220639, 0.1212102658220639, 1.1232642860697712e-15, 0.1545223858638296, 0.1312122451557498, 0.1711038316767507, 0.1711038316767507, 0.1312122451557487, 0.7920111018305123, 0.0, 0.7920111018305112, 1.0, 0.0379816117725977]",numbered_rankings,Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,24,0.2404167798087607,0.42882604025623594,"[0.1308374188828973, 0.1308374188828973, 0.0, 0.144441869372262, 0.1354489599487264, 0.172893430397943, 0.172893430397943, 0.1354489599487264, 0.7858263401201678, 0.0, 0.7858263401201678, 1.0, 0.0384823147557249]",numbered_rankings,Method E
