method,r_names_used,distributive,weights_on_harmonics,weights_on_regions,normed_column,harmonics_considered,correlation,p_value,final_ranking_correlate,cleaned_method_name
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,2,-0.0890870806374747,0.7722614932228544,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,2,0.8859422637875107,5.556420334184165e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.17499999999999996, 0.0, 0.525, 1.0, 0.7750000000000001, 0.925, 0.7750000000000001, 0.925]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,2,0.887170280506469,5.2480743403727885e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.22580645161290314, 0.0, 0.45161290322580633, 0.8602150537634407, 1.0, 0.7956989247311826, 1.0, 0.7956989247311826]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,3,-0.0621369766001199,0.84018506641396,"[1.0, 0.0, 0.5, 0.5000000000000003, 0.5000000000000003, 0.0, 0.5, 0.5000000000000003, 0.5, 0.0, 0.5000000000000003, 0.0, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,3,0.9145922293314286,1.198062639050338e-05,"[0.0, 0.0, 0.0, 0.12500000000000003, 0.21875, 0.34375000000000006, 0.2125, 0.6124999999999999, 1.0, 0.7562500000000001, 0.81875, 0.66875, 0.94375]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,3,0.903150474431268,2.338705435074073e-05,"[0.0, 0.0, 0.0, 0.125, 0.21875, 0.44196428571428586, 0.2125, 0.6124999999999999, 1.0, 0.9723214285714288, 0.8187499999999999, 0.8598214285714285, 0.7721590909090909]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,4,-0.10917192286934,0.7225694609319696,"[1.0, 0.0, 0.6666666666666667, 0.6666666666666673, 0.6666666666666673, 0.0, 0.6666666666666667, 0.5555555555555555, 0.6666666666666673, 0.0, 0.5555555555555555, 0.0, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,4,0.9085879796551596,1.7203726008584835e-05,"[0.0, 0.0, 0.06849315068493152, 0.1552511415525114, 0.228310502283105, 0.2990867579908676, 0.20319634703196346, 0.5639269406392694, 1.0, 0.6689497716894979, 0.7625570776255708, 0.6735159817351599, 0.8972602739726028]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,4,0.9161948783339416,1.0829334536017327e-05,"[0.0, 0.0, 0.06849315068493153, 0.1552511415525114, 0.228310502283105, 0.391906786332861, 0.2031963470319635, 0.5871020203915683, 1.0, 0.8765548732483076, 0.7938950397197725, 0.8825381829633131, 0.8022562449637392]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,5,-0.0152588313576963,0.96054072094496,"[1.0, 0.0, 0.5664739884393064, 0.5664739884393064, 0.7398843930635832, 0.11560693641618486, 0.6358381502890171, 0.6531791907514451, 0.5664739884393061, 0.11560693641618486, 0.6531791907514448, 0.11560693641618486, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,5,0.8780663748991488,7.897079599976558e-05,"[0.00828402366863906, 0.0, 0.11479289940828402, 0.1814595660749507, 0.16410256410256413, 0.22524654832347135, 0.15660749506903354, 0.5487179487179489, 1.0, 0.686785009861933, 0.8015779092702169, 0.5960552268244576, 0.8445759368836293]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,5,0.8772486995080653,8.179400047970893e-05,"[0.0, 0.01986123209400906, 0.11665631331368023, 0.18318264265859469, 0.1518729408417652, 0.2858140629406891, 0.15276409493383497, 0.5304096959710197, 1.0, 0.8396906151489979, 0.7748191386930585, 0.7308088997576209, 0.7181934386814437]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,6,-0.0242644204749675,0.9372857857120768,"[1.0, 0.0, 0.5070422535211264, 0.5070422535211269, 0.647887323943662, 0.04694835680751199, 0.5633802816901405, 0.5774647887323942, 0.5070422535211272, 0.04694835680751199, 0.5774647887323942, 0.09389671361502315, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,6,0.8775704004760747,8.06737786619233e-05,"[0.06024096385542169, 0.0, 0.15318416523235803, 0.22719449225473323, 0.23786574870912228, 0.31359724612736667, 0.22409638554216874, 0.6044750430292599, 1.0, 0.6819277108433736, 0.7924268502581756, 0.5786574870912221, 0.8643717728055078]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,6,0.875810381962148,8.695578328491845e-05,"[0.02816911025807649, 0.0, 0.1413188191357587, 0.216366158113731, 0.21194082034821873, 0.3838713956126979, 0.20722720097814706, 0.5814134124798697, 1.0, 0.8365882537180135, 0.767026956390121, 0.693083894035454, 0.7148201118837054]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,7,-0.0215750766207454,0.94422639812521,"[1.0, 0.0, 0.5137231503579951, 0.5972553699284006, 0.7225536992840089, 0.10441527446300752, 0.5638424821002388, 0.659904534606205, 0.5137231503579954, 0.1044152744630069, 0.6599045346062057, 0.08353221957040602, 0.9999999999999993]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,7,0.863598477424516,0.0001421364779941,"[0.14518147684605753, 0.0, 0.12941176470588237, 0.23068836045056318, 0.2715894868585731, 0.31924906132665826, 0.23163954943679593, 0.6023529411764703, 1.0, 0.6251314142678346, 0.776670838548185, 0.5710638297872339, 0.8902127659574467]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,7,0.8758773787752189,8.670970377716342e-05,"[0.0597820688143987, 0.0, 0.09332707568687472, 0.1863151656176436, 0.20847354348484504, 0.38175308291136417, 0.19219154295964577, 0.544676859747401, 1.0, 0.7570313795348769, 0.7169227399773391, 0.6990321881107958, 0.7175825408808916]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,8,-0.0114179681030276,0.9704686405945128,"[1.0, 0.0, 0.5169922397645176, 0.5919186513245923, 0.7043082686647043, 0.09365801445009335, 0.5619480867005616, 0.694942467219695, 0.5169922397645166, 0.09365801445009285, 0.694942467219695, 0.07492641156007468, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,8,0.8590383389789588,0.000168761258292,"[0.14580101927764233, 0.0, 0.1448038998448925, 0.23290494128074446, 0.2809660979392865, 0.3081985375581653, 0.24693108796809218, 0.6161090183913142, 1.0, 0.5836250830932862, 0.776401506758254, 0.5753157544870375, 0.8679149124750721]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,8,0.8759358216691864,8.64954981724973e-05,"[0.05826741021618883, 0.0, 0.10775970198297205, 0.18835291831878348, 0.21942841293762985, 0.3696576578678933, 0.2072130782763586, 0.5495993034983947, 1.0, 0.7082718141277734, 0.7068304578969555, 0.7054736357026261, 0.7007049624174895]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,9,-0.0038767669315409,0.9899714200656806,"[0.9999999999999992, 0.0, 0.48818287485470757, 0.5803951956605968, 0.6780317706315377, 0.12041844246416142, 0.5272375048430844, 0.6698953893839593, 0.5370011623401781, 0.12041844246416142, 0.6698953893839593, 0.06509104998062777, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,9,0.8590431074975716,0.0001687314810433,"[0.17021981981981982, 0.0, 0.13927927927927927, 0.22726486486486486, 0.3463063063063064, 0.316627027027027, 0.3113297297297298, 0.6365045045045046, 1.0, 0.5775639639639641, 0.76941981981982, 0.5553297297297297, 0.9343423423423424]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,9,0.8936736357587548,3.835393171872714e-05,"[0.05999864998210559, 0.0, 0.09536136929096306, 0.17399054797491526, 0.2779138614419261, 0.3789734368312422, 0.27257625435367533, 0.5728900074370818, 1.0, 0.7041692391131283, 0.7072453929812124, 0.7000567228265755, 0.7536759830180814]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,10,0.0193626006381331,0.949939057465677,"[0.9822622650805938, 0.0, 0.490743999436897, 0.5745055254452032, 0.7075385373407473, 0.13894559020201303, 0.5439572041951148, 0.7001478144576613, 0.5350883367354121, 0.13894559020201303, 0.7001478144576619, 0.0886886745970296, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,10,0.8438410727803727,0.0002874147504619,"[0.2138086920784958, 0.0, 0.1405664577554025, 0.2505085790609268, 0.3586561183602179, 0.2970786670776397, 0.3075790266789959, 0.6273571012705915, 1.0, 0.6006849549642111, 0.791554505291277, 0.5329497585533751, 0.9267166683790541]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_normed_weighted_modulations,10,0.881097460564705,6.917775353845913e-05,"[0.08694371880798953, 0.0, 0.08787630744040831, 0.1904934214510949, 0.274604301680809, 0.3491611446731482, 0.25738403764330703, 0.5475892884269283, 1.0, 0.7275278072325548, 0.7134306028946682, 0.6646560049670699, 0.7383177530523019]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_only_modulations,11,0.0264757927863909,0.9315817488740368,"[0.9835324450041882, 0.0, 0.46807777533549966, 0.5787763394740125, 0.7022830019426011, 0.14147126791856549, 0.5174804403229354, 0.6954215206943465, 0.5421817728166525, 0.12899584746719256, 0.7216199036422285, 0.08233777497905895, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,normed_values_weighted_modulations_only,11,0.8343561364099519,0.0003899398406302,"[0.26180902754453483, 0.0, 0.153375493009107, 0.2567696987726353, 0.38621973571833, 0.29022746392596793, 0.3171373644124997, 0.6610310887624313, 1.0, 0.5961896353731838, 0.8469789297583981, 0.5427197789016095, 0.953324312826074]",Method E
