cycle_or_t,note_name,t_values,chord_label,Chord Label,Cycle number,Note Name,Period at Cycle number,Method evaluation,Method Focus,Ratio,delta_t,T_sub,min_t_value,max_t_value,min_cycle_for_t_sub,periods_considered,max_cycle_for_t_sub,subharmonic_method,clean_subharmonic_method
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Delta_t focused,0.4054008073845902,0.0012712063231774,0.0031356778280203,0.002551050109794,0.0038222564329714,0.0,14.0,0.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_choose_top_3_t_sub,T_sub focused,0.4054008073845902,0.0012712063231774,0.0031356778280203,0.002551050109794,0.0038222564329714,0.0,14.0,0.0,Smallest_t_sub_and_choose_top_3_t_sub,Method D
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_choose_top_3_t_sub,T_sub focused,0.518905875358343,0.0020683732782925,0.0039860278646183,0.0030337269412955,0.005102100219588,0.0,14.0,1.0,Smallest_t_sub_and_choose_top_3_t_sub,Method D
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_choose_top_3_t_sub,T_sub focused,0.4054008073845902,0.0012712063231774,0.0031356778280203,0.002551050109794,0.0038222564329714,0.0,15.0,0.0,Smallest_t_sub_and_choose_top_3_t_sub,Method D
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_choose_top_3_t_sub,T_sub focused,0.518905875358343,0.0020683732782925,0.0039860278646183,0.0030337269412955,0.005102100219588,0.0,15.0,1.0,Smallest_t_sub_and_choose_top_3_t_sub,Method D
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_filter_by_smallest_delta_t,T_sub focused,0.4054008073845902,0.0012712063231774,0.0031356778280203,0.002551050109794,0.0038222564329714,0.0,14.0,0.0,Smallest_t_sub_and_filter_by_smallest_delta_t,Method E
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_filter_by_smallest_delta_t,T_sub focused,0.518905875358343,0.0020683732782925,0.0039860278646183,0.0030337269412955,0.005102100219588,0.0,14.0,1.0,Smallest_t_sub_and_filter_by_smallest_delta_t,Method E
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_filter_by_smallest_delta_t,T_sub focused,0.4054008073845902,0.0012712063231774,0.0031356778280203,0.002551050109794,0.0038222564329714,0.0,15.0,0.0,Smallest_t_sub_and_filter_by_smallest_delta_t,Method E
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_filter_by_smallest_delta_t,T_sub focused,0.518905875358343,0.0020683732782925,0.0039860278646183,0.0030337269412955,0.005102100219588,0.0,15.0,1.0,Smallest_t_sub_and_filter_by_smallest_delta_t,Method E
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_filter_by_smallest_ratio,T_sub focused,0.4054008073845902,0.0012712063231774,0.0031356778280203,0.002551050109794,0.0038222564329714,0.0,14.0,0.0,Smallest_t_sub_and_filter_by_smallest_ratio,Method F
0,C4,0.0038222564329714,CM,CM,0,C4,0.0038222564329714,Smallest_t_sub_and_filter_by_smallest_ratio,T_sub focused,0.4054008073845902,0.0012712063231774,0.0031356778280203,0.002551050109794,0.0038222564329714,0.0,15.0,0.0,Smallest_t_sub_and_filter_by_smallest_ratio,Method F
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_choose_top_3_t_sub,T_sub focused,0.4054008073845902,0.0025424126463548,0.0062713556560406,0.005102100219588,0.0076445128659428,1.0,14.0,1.0,Smallest_t_sub_and_choose_top_3_t_sub,Method D
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_choose_top_3_t_sub,T_sub focused,0.4054008073845902,0.0025424126463548,0.0062713556560406,0.005102100219588,0.0076445128659428,1.0,15.0,1.0,Smallest_t_sub_and_choose_top_3_t_sub,Method D
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_filter_by_smallest_delta_t,T_sub focused,0.1791070048396675,0.0014566679579437,0.0081329480064038,0.0076445128659428,0.0091011808238865,1.0,14.0,2.0,Smallest_t_sub_and_filter_by_smallest_delta_t,Method E
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_filter_by_smallest_delta_t,T_sub focused,0.1791070048396675,0.0014566679579437,0.0081329480064038,0.0076445128659428,0.0091011808238865,1.0,15.0,2.0,Smallest_t_sub_and_filter_by_smallest_delta_t,Method E
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_filter_by_smallest_ratio,T_sub focused,0.1791070048396675,0.0014566679579437,0.0081329480064038,0.0076445128659428,0.0091011808238865,1.0,14.0,2.0,Smallest_t_sub_and_filter_by_smallest_ratio,Method F
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_filter_by_smallest_ratio,T_sub focused,0.4054008073845902,0.0025424126463548,0.0062713556560406,0.005102100219588,0.0076445128659428,1.0,14.0,1.0,Smallest_t_sub_and_filter_by_smallest_ratio,Method F
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_filter_by_smallest_ratio,T_sub focused,0.1791070048396675,0.0014566679579437,0.0081329480064038,0.0076445128659428,0.0091011808238865,1.0,15.0,2.0,Smallest_t_sub_and_filter_by_smallest_ratio,Method F
1,C4,0.0076445128659428,CM,CM,1,C4,0.0076445128659428,Smallest_t_sub_and_filter_by_smallest_ratio,T_sub focused,0.4054008073845902,0.0025424126463548,0.0062713556560406,0.005102100219588,0.0076445128659428,1.0,15.0,1.0,Smallest_t_sub_and_filter_by_smallest_ratio,Method F
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Delta_t focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,14.0,5.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Delta_t focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,15.0,5.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_delta_t_and_choose_top_3_delta_t,Delta_t focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,14.0,5.0,Smallest_delta_t_and_choose_top_3_delta_t,Method B
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_delta_t_and_choose_top_3_delta_t,Delta_t focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,15.0,5.0,Smallest_delta_t_and_choose_top_3_delta_t,Method B
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_delta_t_and_filter_by_smallest_ratio,Delta_t focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,14.0,5.0,Smallest_delta_t_and_filter_by_smallest_ratio,Method C
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_delta_t_and_filter_by_smallest_ratio,Delta_t focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,15.0,5.0,Smallest_delta_t_and_filter_by_smallest_ratio,Method C
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_ratio_and_filter_by_smallest_t_sub,Delta_t/T_sub focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,14.0,5.0,Smallest_ratio_and_filter_by_smallest_t_sub,Method G
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_ratio_and_filter_by_smallest_t_sub,Delta_t/T_sub focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,15.0,5.0,Smallest_ratio_and_filter_by_smallest_t_sub,Method G
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_ratio_and_filter_by_smallest_delta_t,Delta_t/T_sub focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,14.0,5.0,Smallest_ratio_and_filter_by_smallest_delta_t,Method H
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_ratio_and_filter_by_smallest_delta_t,Delta_t/T_sub focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,15.0,5.0,Smallest_ratio_and_filter_by_smallest_delta_t,Method H
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_ratio_and_choose_top_3_ratio,Delta_t/T_sub focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,14.0,5.0,Smallest_ratio_and_choose_top_3_ratio,Method I
3,C4,0.0152890257318857,CM,CM,3,C4,0.0152890257318857,Smallest_ratio_and_choose_top_3_ratio,Delta_t/T_sub focused,0.0090245216313992,0.0001376659522865,0.0152546536990425,0.0151686347064776,0.0153063006587641,3.0,15.0,5.0,Smallest_ratio_and_choose_top_3_ratio,Method I
4,C4,0.0191112821648571,CM,CM,4,C4,0.0191112821648571,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Delta_t focused,0.0681842735925494,0.0012539313962989,0.0183903315270628,0.0178573507685582,0.0191112821648571,4.0,14.0,6.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A
4,C4,0.0191112821648571,CM,CM,4,C4,0.0191112821648571,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Delta_t focused,0.0681842735925494,0.0012539313962989,0.0183903315270628,0.0178573507685582,0.0191112821648571,4.0,15.0,6.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A
6,C4,0.0267557950308,CM,CM,6,C4,0.0267557950308,Smallest_ratio_and_filter_by_smallest_t_sub,Delta_t/T_sub focused,0.0477012437679169,0.0013057561769343,0.0273736295700647,0.0267557950308,0.0280615512077343,6.0,14.0,10.0,Smallest_ratio_and_filter_by_smallest_t_sub,Method G
6,C4,0.0267557950308,CM,CM,6,C4,0.0267557950308,Smallest_ratio_and_filter_by_smallest_t_sub,Delta_t/T_sub focused,0.0477012437679169,0.0013057561769343,0.0273736295700647,0.0267557950308,0.0280615512077343,6.0,15.0,10.0,Smallest_ratio_and_filter_by_smallest_t_sub,Method G
7,C4,0.0305780514637714,CM,CM,7,C4,0.0305780514637714,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Delta_t focused,0.0090245216313992,0.000275331904573,0.030509307398085,0.0303372694129553,0.0306126013175283,7.0,15.0,11.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A
7,C4,0.0305780514637714,CM,CM,7,C4,0.0305780514637714,Smallest_delta_t_and_choose_top_3_delta_t,Delta_t focused,0.0090245216313992,0.000275331904573,0.030509307398085,0.0303372694129553,0.0306126013175283,7.0,14.0,11.0,Smallest_delta_t_and_choose_top_3_delta_t,Method B
7,C4,0.0305780514637714,CM,CM,7,C4,0.0305780514637714,Smallest_delta_t_and_choose_top_3_delta_t,Delta_t focused,0.0090245216313992,0.000275331904573,0.030509307398085,0.0303372694129553,0.0306126013175283,7.0,15.0,11.0,Smallest_delta_t_and_choose_top_3_delta_t,Method B
7,C4,0.0305780514637714,CM,CM,7,C4,0.0305780514637714,Smallest_delta_t_and_filter_by_smallest_ratio,Delta_t focused,0.0090245216313992,0.000275331904573,0.030509307398085,0.0303372694129553,0.0306126013175283,7.0,14.0,11.0,Smallest_delta_t_and_filter_by_smallest_ratio,Method C
7,C4,0.0305780514637714,CM,CM,7,C4,0.0305780514637714,Smallest_delta_t_and_filter_by_smallest_ratio,Delta_t focused,0.0090245216313992,0.000275331904573,0.030509307398085,0.0303372694129553,0.0306126013175283,7.0,15.0,11.0,Smallest_delta_t_and_filter_by_smallest_ratio,Method C
7,C4,0.0305780514637714,CM,CM,7,C4,0.0305780514637714,Smallest_ratio_and_filter_by_smallest_t_sub,Delta_t/T_sub focused,0.0090245216313992,0.000275331904573,0.030509307398085,0.0303372694129553,0.0306126013175283,7.0,14.0,11.0,Smallest_ratio_and_filter_by_smallest_t_sub,Method G
