chord_label,normalized_value,subharmonic_method,clean_subharmonic_method,periods_considered,ground_truth_type,method_focus
U,0.0,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
8v,0.1310116144078594,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
P5,0.1146751176212621,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
P4,0.1951156775689312,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
M3,0.1586199511758766,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
M6,0.1597428239254548,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
m6,0.0852191017657928,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
m3,0.1580093145386703,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
TT,0.1672479435253611,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
m7,0.2023952518623577,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
M2,0.2577716487800783,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
M7,0.1823876467906527,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
m2,1.0,Smallest_delta_t_and_choose_top_3_delta_t,Method B,4,Intervals - Ranking Order,Delta_t focused
U,0.0,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
8v,0.1310116144078594,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
P5,0.1441768819221,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
P4,0.1951156775689312,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
M3,0.1586199511758766,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
M6,0.1597428239254548,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
m6,0.1295417215107807,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
m3,0.1580093145386703,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
TT,0.1672479435253611,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
m7,0.2023952518623577,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
M2,0.2180682220232158,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
M7,0.1823876467906527,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
m2,1.0,Smallest_delta_t_and_filter_by_smallest_ratio,Method C,4,Intervals - Ranking Order,Delta_t focused
U,0.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
8v,0.0416226800764534,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
P5,0.0402963858757446,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
P4,0.0480199262849783,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
M3,0.0482708118283227,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
M6,0.0756629165776493,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
m6,0.0852191017657928,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
m3,0.0957976070652699,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
TT,0.0449767556231907,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
m7,0.0631104243994045,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
M2,0.2577716487800783,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
M7,0.0512984828918085,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
m2,1.0,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),Method A,4,Intervals - Ranking Order,Delta_t focused
U,0.0,Smallest_ratio_and_choose_top_3_ratio,Method I,4,Intervals - Ranking Order,Delta_t/T_sub focused
8v,0.1310116144078594,Smallest_ratio_and_choose_top_3_ratio,Method I,4,Intervals - Ranking Order,Delta_t/T_sub focused
P5,0.1441768819221,Smallest_ratio_and_choose_top_3_ratio,Method I,4,Intervals - Ranking Order,Delta_t/T_sub focused
P4,0.1951156775689312,Smallest_ratio_and_choose_top_3_ratio,Method I,4,Intervals - Ranking Order,Delta_t/T_sub focused
M3,0.1586199511758766,Smallest_ratio_and_choose_top_3_ratio,Method I,4,Intervals - Ranking Order,Delta_t/T_sub focused
