note_combination,chord_label,raw_values_per_combination,weighted_modulations_per_region_in_note_combinations,weighted_sum_per_region_normalized_tension_value,raw_t_score_summed_only_modulations,raw_t_score_summed_using_weighted_normalized_value,raw_t_score_summed_using_weighted_modulations_no_norm,normed_values_only_modulations,normed_values_weighted_modulations_only,normed_values_normed_weighted_modulations,method,harmonics_considered
"G2,G2",U,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,B2",M3,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,C3",P4,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,C#3",TT,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,D3",P5,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,D#3",m6,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,G3",8v,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,E3",M6,"[[0, 1]]",,,1.0,,,0.5,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,F3",m7,"[[0, 1]]",,,1.0,,,0.5,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,F#3",M7,"[[1, 0]]",,,1.0,,,0.5,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,G#2",m2,"[[2, 0]]",,,2.0,,,1.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,A2",M2,"[[0, 2]]",,,2.0,,,1.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,A#2",m3,"[[0, 2]]",,,2.0,,,1.0,,,Chan's method Vanilla Cap 0 with  distributive,2
"G2,G3",8v,"[[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],0.4,0.0,0.0,0.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,G2",U,"[[0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],0.6000000000000001,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,B2",M3,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],0.6000000000000001,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,C3",P4,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],0.6000000000000001,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,D3",P5,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],0.6000000000000001,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,D#3",m6,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],0.6000000000000001,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,E3",M6,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.17499999999999996],0.4,0.17499999999999996,0.06999999999999999,0.0,0.17499999999999996,0.22580645161290314,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,A#2",m3,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.35],0.6000000000000001,0.35,0.21000000000000002,1.0,0.525,0.45161290322580633,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,F3",m7,"[[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0]]",[0.7750000000000001],0.4,0.7750000000000001,0.31000000000000005,0.0,0.7750000000000001,1.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,F#3",M7,"[[0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0]]",[0.7750000000000001],0.4,0.7750000000000001,0.31000000000000005,0.0,0.7750000000000001,1.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,G#2",m2,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0]]",[0.6166666666666667],0.6000000000000001,0.6166666666666667,0.37000000000000005,1.0,0.925,0.7956989247311826,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,A2",M2,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0]]",[0.6166666666666667],0.6000000000000001,0.6166666666666667,0.37000000000000005,1.0,0.925,0.7956989247311826,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,C#3",TT,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.6666666666666666],0.6000000000000001,0.6666666666666666,0.4,1.0,1.0,0.8602150537634407,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"G2,E3",M6,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,0.4,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,F3",m7,"[[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0]]",,,0.4,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,F#3",M7,"[[0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0]]",,,0.4,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G3",8v,"[[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0]]",,,0.4,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G2",U,"[[0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G#2",m2,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,A2",M2,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,A#2",m3,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,B2",M3,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,C3",P4,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,C#3",TT,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,D3",P5,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,D#3",m6,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]",,,0.6000000000000001,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G3",8v,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]","[[0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.0],3.0,0.0,0.0,0.0,0.0,0.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,G2",U,"[[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]","[[0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.0],4.0,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,B2",M3,"[[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0]]","[[0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.0],4.0,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,C3",P4,"[[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0]]","[[0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.0],4.0,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,D3",P5,"[[0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1]]","[[0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.0],4.0,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,D#3",m6,"[[0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1]]","[[0, 0.0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.0],4.0,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,E3",M6,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]]","[[0, 0.0, 0.0, 0, 0, 0.7, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.2333333333333333],3.0,0.2333333333333333,0.7,0.0,0.2333333333333333,0.2916666666666667,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,A#2",m3,"[[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]]","[[0, 0.0, 0.0, 0, 0, 1.4, 0, 0, 0, 0, 0.0, 0, 0, 0, 0]]",[0.35],4.0,0.35,1.4,1.0,0.4666666666666666,0.4375,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,F3",m7,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]]","[[0, 0.0, 0.0, 0, 1, 0.0, 0, 0, 0, 0, 1.4, 0, 0, 0, 0]]",[0.7999999999999999],3.0,0.7999999999999999,2.4,0.0,0.7999999999999999,1.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,F#3",M7,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]]","[[0, 0.0, 0.0, 1, 0, 0.0, 0, 0, 0, 0, 1.4, 0, 0, 0, 0]]",[0.7999999999999999],3.0,0.7999999999999999,2.4,0.0,0.7999999999999999,1.0,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,G#2",m2,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]]","[[0, 0.0, 0.0, 2, 0, 0.0, 0, 0, 0, 0, 0.7, 0, 0, 0, 0]]",[0.675],4.0,0.675,2.7,1.0,0.9,0.8437500000000001,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,A2",M2,"[[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]]","[[0, 0.0, 0.0, 0, 2, 0.0, 0, 0, 0, 0, 0.7, 0, 0, 0, 0]]",[0.675],4.0,0.675,2.7,1.0,0.9,0.8437500000000001,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,C#3",TT,"[[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1]]","[[0, 0.0, 0.0, 0, 0, 0.0, 0, 3, 0, 0, 0.0, 0, 0, 0, 0]]",[0.75],4.0,0.75,3.0,1.0,1.0,0.9375000000000001,Experimental_methods's  without weights on harmonics and weights on regions and distributive Cap 0,2
"G2,E3",M6,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]]",,,3.0,,,0.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,F3",m7,"[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]]",,,3.0,,,0.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,F#3",M7,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]]",,,3.0,,,0.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G3",8v,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]",,,3.0,,,0.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G2",U,"[[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G#2",m2,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,A2",M2,"[[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,A#2",m3,"[[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,B2",M3,"[[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,C3",P4,"[[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,C#3",TT,"[[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,D3",P5,"[[0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,D#3",m6,"[[0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1]]",,,4.0,,,1.0,,,Experimental_methods's  without weights on harmonics without weights on regions and distributive Cap 0,2
"G2,G2",U,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,D3",P5,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,G3",8v,"[[0, 0]]",,,0.0,,,0.0,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,B2",M3,"[[0, 1]]",,,1.0,,,0.3333333333333333,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,C3",P4,"[[0, 1]]",,,1.0,,,0.3333333333333333,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,C#3",TT,"[[1, 0]]",,,1.0,,,0.3333333333333333,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,D#3",m6,"[[1, 0]]",,,1.0,,,0.3333333333333333,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,F#3",M7,"[[1, 0]]",,,1.0,,,0.3333333333333333,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,E3",M6,"[[0, 2]]",,,2.0,,,0.6666666666666666,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,F3",m7,"[[0, 2]]",,,2.0,,,0.6666666666666666,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,G#2",m2,"[[3, 0]]",,,3.0,,,1.0,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,A2",M2,"[[0, 3]]",,,3.0,,,1.0,,,Chan's method Vanilla Cap 0 with  distributive,3
"G2,A#2",m3,"[[0, 3]]",,,3.0,,,1.0,,,Chan's method Vanilla Cap 0 with  distributive,3
