method,harmonics_considered,normed_column,correlation,p_value,final_ranking_correlate
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,2,normed_values_only_modulations,0.7259079527665504,0.004966567919660581,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.5, 1.0, 0.5, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,3,normed_values_only_modulations,0.7445134596131822,0.0035096178288104856,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 1.0, 0.3333333333333333, 0.6666666666666666, 1.0, 0.3333333333333333, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,4,normed_values_only_modulations,0.7510332699033224,0.0030865787448638438,"[0.0, 0.0, 0.2, 0.2, 0.4, 0.6, 0.4, 1.0, 0.4, 0.6, 1.0, 0.4, 0.8]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,5,normed_values_only_modulations,0.8038369524685004,0.0009285685540408247,"[0.0, 0.0, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.8571428571428571, 0.5714285714285714, 0.42857142857142855, 1.0, 0.42857142857142855, 0.8571428571428571]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,6,normed_values_only_modulations,0.8487880411230629,0.0002431991351846007,"[0.0, 0.0, 0.25, 0.375, 0.375, 0.625, 0.375, 0.875, 0.75, 0.625, 1.0, 0.5, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,7,normed_values_only_modulations,0.759848554933973,0.0025787400907938407,"[0.0, 0.0, 0.125, 0.25, 0.25, 0.375, 0.375, 0.875, 0.5, 0.375, 0.875, 0.25, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,8,normed_values_only_modulations,0.7831460636492693,0.0015444161773599994,"[0.2222222222222222, 0.0, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 1.0, 0.6666666666666666, 0.5555555555555556, 1.0, 0.4444444444444444, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,9,normed_values_only_modulations,0.7525513917007738,0.0029940166184866043,"[0.2, 0.0, 0.1, 0.3, 0.4, 0.3, 0.4, 0.8, 0.6, 0.4, 0.9, 0.3, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,10,normed_values_only_modulations,0.766338136141334,0.002248388379424224,"[0.3076923076923077, 0.0, 0.15384615384615385, 0.23076923076923078, 0.46153846153846156, 0.38461538461538464, 0.38461538461538464, 0.6923076923076923, 0.6153846153846154, 0.38461538461538464, 0.8461538461538461, 0.38461538461538464, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,11,normed_values_only_modulations,0.7355126348193047,0.00416583566143567,"[0.3333333333333333, 0.0, 0.06666666666666667, 0.2, 0.4, 0.26666666666666666, 0.4, 0.6666666666666666, 0.6, 0.3333333333333333, 0.7333333333333333, 0.3333333333333333, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,12,normed_values_only_modulations,0.769508750237743,0.0020994915836869245,"[0.23529411764705882, 0.0, 0.11764705882352941, 0.23529411764705882, 0.47058823529411764, 0.29411764705882354, 0.4117647058823529, 0.6470588235294118, 0.6470588235294118, 0.35294117647058826, 0.7058823529411765, 0.35294117647058826, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,13,normed_values_only_modulations,0.7475357090318505,0.0033082801251780266,"[0.3, 0.0, 0.15, 0.25, 0.55, 0.35, 0.45, 0.65, 0.6, 0.35, 0.7, 0.4, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,14,normed_values_only_modulations,0.7170973570641463,0.0058007065352455875,"[0.2857142857142857, 0.0, 0.14285714285714285, 0.23809523809523808, 0.5238095238095238, 0.2857142857142857, 0.42857142857142855, 0.6666666666666666, 0.5714285714285714, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,15,normed_values_only_modulations,0.6973896739414049,0.008053821467263328,"[0.30434782608695654, 0.0, 0.17391304347826086, 0.2608695652173913, 0.5217391304347826, 0.30434782608695654, 0.4782608695652174, 0.6956521739130435, 0.6086956521739131, 0.30434782608695654, 0.6521739130434783, 0.34782608695652173, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,16,normed_values_only_modulations,0.6669244187889356,0.012778554043271651,"[0.375, 0.0, 0.16666666666666666, 0.20833333333333334, 0.5833333333333334, 0.2916666666666667, 0.4583333333333333, 0.7083333333333334, 0.625, 0.2916666666666667, 0.6666666666666666, 0.375, 1.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,17,normed_values_only_modulations,0.5971997765473713,0.03115459267646158,"[0.4166666666666667, 0.0, 0.125, 0.25, 0.5833333333333334, 0.25, 0.4166666666666667, 0.75, 0.5416666666666666, 0.25, 0.625, 0.3333333333333333, 1.0]"
