method,harmonics_considered,normed_column,correlation,p_value,final_ranking_correlate
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,2,normed_values_only_modulations,-0.1410775081213517,0.6457170931931527,"[0.5, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.75, 0.25, 0.75, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,3,normed_values_only_modulations,0.10212236669833402,0.7399074324617149,"[0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.75, 0.25, 0.75, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,4,normed_values_only_modulations,0.08345251517117391,0.7863555369458592,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.0, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.14285714285714285, 0.7142857142857143, 1.0, 0.14285714285714285]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,5,normed_values_only_modulations,0.018997419630928186,0.9508821810906686,"[0.45454545454545453, 0.45454545454545453, 0.09090909090909091, 0.0, 0.36363636363636365, 0.45454545454545453, 0.45454545454545453, 0.36363636363636365, 0.7272727272727273, 0.09090909090909091, 0.7272727272727273, 1.0, 0.09090909090909091]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,6,normed_values_only_modulations,0.10346312356898968,0.736600926250343,"[0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.8181818181818182, 0.18181818181818182, 0.8181818181818182, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,7,normed_values_only_modulations,0.09585547885425819,0.7554163309411069,"[0.2727272727272727, 0.2727272727272727, 0.0, 0.0, 0.45454545454545453, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.6363636363636364, 0.0, 0.6363636363636364, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,8,normed_values_only_modulations,0.12480404689805807,0.6845654777366904,"[0.3076923076923077, 0.3076923076923077, 0.0, 0.0, 0.38461538461538464, 0.23076923076923078, 0.23076923076923078, 0.38461538461538464, 0.6153846153846154, 0.0, 0.6153846153846154, 1.0, 0.07692307692307693]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,9,normed_values_only_modulations,0.22836527562474584,0.4530015098842143,"[0.25, 0.25, 0.0, 0.0, 0.4166666666666667, 0.25, 0.25, 0.4166666666666667, 0.5833333333333334, 0.0, 0.5833333333333334, 1.0, 0.16666666666666666]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,10,normed_values_only_modulations,0.3077706174347978,0.3063175838731837,"[0.4, 0.4, 0.2, 0.0, 0.4, 0.3333333333333333, 0.3333333333333333, 0.4, 0.7333333333333333, 0.2, 0.7333333333333333, 1.0, 0.4]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,11,normed_values_only_modulations,0.34011453816853204,0.2555162202890127,"[0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.0, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.6666666666666666, 0.1111111111111111, 0.6666666666666666, 1.0, 0.3888888888888889]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,12,normed_values_only_modulations,0.37899286185160286,0.2015708686751355,"[0.3684210526315789, 0.3684210526315789, 0.15789473684210525, 0.0, 0.42105263157894735, 0.21052631578947367, 0.21052631578947367, 0.42105263157894735, 0.6842105263157895, 0.15789473684210525, 0.6842105263157895, 1.0, 0.47368421052631576]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,13,normed_values_only_modulations,0.4310472764572645,0.14141669756501088,"[0.47619047619047616, 0.47619047619047616, 0.2857142857142857, 0.0, 0.47619047619047616, 0.23809523809523808, 0.23809523809523808, 0.47619047619047616, 0.7142857142857143, 0.2857142857142857, 0.7142857142857143, 1.0, 0.6666666666666666]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,14,normed_values_only_modulations,0.37694739524731397,0.20421511411215454,"[0.4782608695652174, 0.4782608695652174, 0.21739130434782608, 0.0, 0.4782608695652174, 0.21739130434782608, 0.21739130434782608, 0.4782608695652174, 0.6521739130434783, 0.21739130434782608, 0.6521739130434783, 1.0, 0.6086956521739131]"
