method,harmonics_considered,normed_column,correlation,p_value,final_ranking_correlate
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,2,normed_values_only_modulations,0.16495721976846447,0.59020008161137,"[0.5, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.75, 0.25, 0.75, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,3,normed_values_only_modulations,0.38180177416060623,0.19797464845993948,"[0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.75, 0.25, 0.75, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,4,normed_values_only_modulations,0.3485681607602392,0.24312355530632024,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.0, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.14285714285714285, 0.7142857142857143, 1.0, 0.14285714285714285]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,5,normed_values_only_modulations,0.2914482543129825,0.3339702463959344,"[0.45454545454545453, 0.45454545454545453, 0.09090909090909091, 0.0, 0.36363636363636365, 0.45454545454545453, 0.45454545454545453, 0.36363636363636365, 0.7272727272727273, 0.09090909090909091, 0.7272727272727273, 1.0, 0.09090909090909091]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,6,normed_values_only_modulations,0.3945319790992814,0.18218187415520806,"[0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.8181818181818182, 0.18181818181818182, 0.8181818181818182, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,7,normed_values_only_modulations,0.3571591275174421,0.23090708542121463,"[0.2727272727272727, 0.2727272727272727, 0.0, 0.0, 0.45454545454545453, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.6363636363636364, 0.0, 0.6363636363636364, 1.0, 0.0]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,8,normed_values_only_modulations,0.37683290305049016,0.20436375661951356,"[0.3076923076923077, 0.3076923076923077, 0.0, 0.0, 0.38461538461538464, 0.23076923076923078, 0.23076923076923078, 0.38461538461538464, 0.6153846153846154, 0.0, 0.6153846153846154, 1.0, 0.07692307692307693]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,9,normed_values_only_modulations,0.457826492839401,0.11567563552201704,"[0.25, 0.25, 0.0, 0.0, 0.4166666666666667, 0.25, 0.25, 0.4166666666666667, 0.5833333333333334, 0.0, 0.5833333333333334, 1.0, 0.16666666666666666]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,10,normed_values_only_modulations,0.5285181485261014,0.06333336203979877,"[0.4, 0.4, 0.2, 0.0, 0.4, 0.3333333333333333, 0.3333333333333333, 0.4, 0.7333333333333333, 0.2, 0.7333333333333333, 1.0, 0.4]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,11,normed_values_only_modulations,0.5381749795555812,0.05779337723938294,"[0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.0, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.6666666666666666, 0.1111111111111111, 0.6666666666666666, 1.0, 0.3888888888888889]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,12,normed_values_only_modulations,0.5618371111350018,0.045686566852087315,"[0.3684210526315789, 0.3684210526315789, 0.15789473684210525, 0.0, 0.42105263157894735, 0.21052631578947367, 0.21052631578947367, 0.42105263157894735, 0.6842105263157895, 0.15789473684210525, 0.6842105263157895, 1.0, 0.47368421052631576]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,13,normed_values_only_modulations,0.5716373887464965,0.04125114392880011,"[0.47619047619047616, 0.47619047619047616, 0.2857142857142857, 0.0, 0.47619047619047616, 0.23809523809523808, 0.23809523809523808, 0.47619047619047616, 0.7142857142857143, 0.2857142857142857, 0.7142857142857143, 1.0, 0.6666666666666666]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,14,normed_values_only_modulations,0.520100693963389,0.06845933387031705,"[0.4782608695652174, 0.4782608695652174, 0.21739130434782608, 0.0, 0.4782608695652174, 0.21739130434782608, 0.21739130434782608, 0.4782608695652174, 0.6521739130434783, 0.21739130434782608, 0.6521739130434783, 1.0, 0.6086956521739131]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,15,normed_values_only_modulations,0.5098236315299592,0.07510414405381251,"[0.48148148148148145, 0.48148148148148145, 0.2222222222222222, 0.0, 0.5185185185185185, 0.2222222222222222, 0.2222222222222222, 0.5185185185185185, 0.6666666666666666, 0.2222222222222222, 0.6666666666666666, 1.0, 0.5925925925925926]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,16,normed_values_only_modulations,0.49096224516463827,0.08844573627401811,"[0.5625, 0.5625, 0.28125, 0.0, 0.5, 0.25, 0.25, 0.5, 0.6875, 0.28125, 0.6875, 1.0, 0.6875]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,17,normed_values_only_modulations,0.4516318392861961,0.12132601901430515,"[0.5483870967741935, 0.5483870967741935, 0.25806451612903225, 0.0, 0.5161290322580645, 0.1935483870967742, 0.1935483870967742, 0.5161290322580645, 0.6129032258064516, 0.25806451612903225, 0.6129032258064516, 1.0, 0.6451612903225806]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,18,normed_values_only_modulations,0.5004692294842428,0.08153208519300183,"[0.5151515151515151, 0.5151515151515151, 0.2727272727272727, 0.0, 0.5151515151515151, 0.18181818181818182, 0.18181818181818182, 0.5151515151515151, 0.6060606060606061, 0.2727272727272727, 0.6060606060606061, 1.0, 0.696969696969697]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,19,normed_values_only_modulations,0.4546952764254529,0.11850916830525114,"[0.5135135135135135, 0.5135135135135135, 0.24324324324324326, 0.0, 0.4594594594594595, 0.1891891891891892, 0.1891891891891892, 0.4594594594594595, 0.5945945945945946, 0.24324324324324326, 0.5945945945945946, 1.0, 0.5675675675675675]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,20,normed_values_only_modulations,0.4681000975240813,0.10669947547046955,"[0.525, 0.525, 0.25, 0.0, 0.475, 0.25, 0.25, 0.475, 0.6, 0.25, 0.6, 1.0, 0.6]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,21,normed_values_only_modulations,0.4595958635880917,0.11409478209979151,"[0.5227272727272727, 0.5227272727272727, 0.22727272727272727, 0.0, 0.4772727272727273, 0.25, 0.25, 0.4772727272727273, 0.5909090909090909, 0.22727272727272727, 0.5909090909090909, 1.0, 0.5909090909090909]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,22,normed_values_only_modulations,0.4581392990118013,0.11539509263416582,"[0.5, 0.5, 0.20454545454545456, 0.0, 0.5, 0.25, 0.25, 0.5, 0.5681818181818182, 0.20454545454545456, 0.5681818181818182, 1.0, 0.5681818181818182]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,23,normed_values_only_modulations,0.43733492934502266,0.1350631154236567,"[0.5333333333333333, 0.5333333333333333, 0.2222222222222222, 0.0, 0.5111111111111111, 0.28888888888888886, 0.28888888888888886, 0.5111111111111111, 0.5777777777777777, 0.2222222222222222, 0.5777777777777777, 1.0, 0.5777777777777777]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,24,normed_values_only_modulations,0.430389796826347,0.14209220090905833,"[0.5686274509803921, 0.5686274509803921, 0.2549019607843137, 0.0, 0.5098039215686274, 0.29411764705882354, 0.29411764705882354, 0.5098039215686274, 0.6078431372549019, 0.2549019607843137, 0.6078431372549019, 1.0, 0.6078431372549019]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,25,normed_values_only_modulations,0.4272843014943838,0.14531144437022278,"[0.5849056603773585, 0.5849056603773585, 0.2830188679245283, 0.0, 0.49056603773584906, 0.32075471698113206, 0.32075471698113206, 0.49056603773584906, 0.6037735849056604, 0.2830188679245283, 0.6037735849056604, 1.0, 0.6226415094339622]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,26,normed_values_only_modulations,0.4167230938047325,0.1566151431865629,"[0.6111111111111112, 0.6111111111111112, 0.3148148148148148, 0.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.6111111111111112, 0.3148148148148148, 0.6111111111111112, 1.0, 0.6481481481481481]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,27,normed_values_only_modulations,0.42341806452598263,0.14938552312653197,"[0.6037735849056604, 0.6037735849056604, 0.32075471698113206, 0.0, 0.5283018867924528, 0.32075471698113206, 0.32075471698113206, 0.5283018867924528, 0.6037735849056604, 0.32075471698113206, 0.6037735849056604, 1.0, 0.660377358490566]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,28,normed_values_only_modulations,0.4034792161975528,0.1715752302744236,"[0.603448275862069, 0.603448275862069, 0.3103448275862069, 0.0, 0.5344827586206896, 0.3103448275862069, 0.3103448275862069, 0.5344827586206896, 0.5862068965517241, 0.3103448275862069, 0.5862068965517241, 1.0, 0.6379310344827587]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,29,normed_values_only_modulations,0.3657249939149753,0.2191052602952474,"[0.59375, 0.59375, 0.28125, 0.0, 0.515625, 0.28125, 0.28125, 0.515625, 0.5625, 0.28125, 0.5625, 1.0, 0.5625]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,30,normed_values_only_modulations,0.3798027019588328,0.20052989043194872,"[0.5882352941176471, 0.5882352941176471, 0.29411764705882354, 0.0, 0.5294117647058824, 0.27941176470588236, 0.27941176470588236, 0.5294117647058824, 0.5882352941176471, 0.29411764705882354, 0.5882352941176471, 1.0, 0.5588235294117647]"
Chan's method Vanilla Cap 0 with  distributive normed_values_only_modulations,31,normed_values_only_modulations,0.3626925569368358,0.223240023104622,"[0.6027397260273972, 0.6027397260273972, 0.2876712328767123, 0.0, 0.5205479452054794, 0.3013698630136986, 0.3013698630136986, 0.5205479452054794, 0.5753424657534246, 0.2876712328767123, 0.5753424657534246, 1.0, 0.5616438356164384]"
