,case,note_names,periods_considered,tension_score,chord_label,normalized_tension_score,threshold_exponent_applied
0,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,9019.475174336858,m3,0.1580093145386703,10**-6
1,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,12069.785353347443,m3,0.2114467276031425,10**-6
2,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,29206.89880913706,m3,0.5116663632228867,10**-6
3,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",7,36907.935310288514,m3,0.6017780654508934,10**-6
4,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",8,36907.935310288514,m3,0.4231562543092789,10**-6
5,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",9,36907.935310288514,m3,0.4231562543092789,10**-6
6,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",10,36907.935310288514,m3,0.13075745167364666,10**-6
7,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",11,36907.935310288514,m3,0.13075745167364666,10**-6
8,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",12,306954.0623337731,m3,0.9843563281347724,10**-6
9,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",13,628082.9416439201,m3,1.0,10**-6
10,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",14,628082.9416439201,m3,1.0,10**-6
11,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",15,628082.9416439201,m3,0.8730519168315343,10**-6
12,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",16,628082.9416439201,m3,0.8730519168315343,10**-6
13,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",17,628082.9416439201,m3,0.7589863389529009,10**-6
14,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",18,628082.9416439201,m3,0.653748550476157,10**-6
15,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",19,1191419.858814764,m3,0.5207439957677114,10**-6
16,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",20,1191419.858814764,m3,0.5207439957677114,10**-6
17,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",21,1191419.858814764,m3,0.5207439957677114,10**-6
18,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",22,1191419.858814764,m3,0.5207439957677114,10**-6
19,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",23,1191419.858814764,m3,0.5207439957677114,10**-6
20,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",24,1191419.858814764,m3,0.5207439957677114,10**-6
21,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",25,2206835.351847959,m3,0.9645602686747063,10**-6
22,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",26,2206835.351847959,m3,0.9645602686747063,10**-6
23,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",27,2206835.351847959,m3,0.5387969843358665,10**-6
24,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",28,2206835.351847959,m3,0.5387969843358665,10**-6
25,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",29,2206835.351847959,m3,0.5387969843358665,10**-6
26,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",30,2206835.351847959,m3,0.5387969843358665,10**-6
27,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",31,2206835.351847959,m3,0.5387969843358665,10**-6
