,case,note_names,periods_considered,threshold_exponent,tension_score,chord_label,normalized_tension_score
0,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**1,0.0,m3,0.0
1,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**10,9019.475174336858,m3,0.1580093145386703
2,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**11,9019.475174336858,m3,0.1580093145386703
3,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**12,9019.475174336858,m3,0.1580093145386703
4,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**2,0.0,m3,0.0
5,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**3,0.0,m3,0.0
6,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**4,9019.475174336858,m3,0.1580093145386703
7,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**5,9019.475174336858,m3,0.1580093145386703
8,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**6,9019.475174336858,m3,0.1580093145386703
9,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**7,9019.475174336858,m3,0.1580093145386703
10,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**8,9019.475174336858,m3,0.1580093145386703
11,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",4,10**9,9019.475174336858,m3,0.1580093145386703
12,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**1,0.0,m3,0.0
13,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**10,12069.785353347443,m3,0.2114467276031425
14,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**11,12069.785353347443,m3,0.2114467276031425
15,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**12,12069.785353347443,m3,0.2114467276031425
16,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**2,0.0,m3,0.0
17,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**3,0.0,m3,0.0
18,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**4,12069.785353347443,m3,0.2114467276031425
19,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**5,12069.785353347443,m3,0.2114467276031425
20,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**6,12069.785353347443,m3,0.2114467276031425
21,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**7,12069.785353347443,m3,0.2114467276031425
22,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**8,12069.785353347443,m3,0.2114467276031425
23,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",5,10**9,12069.785353347443,m3,0.2114467276031425
24,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**1,0.0,m3,0.0
25,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**10,29206.89880913706,m3,0.5116663632228867
26,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**11,29206.89880913706,m3,0.5116663632228867
27,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**12,29206.89880913706,m3,0.5116663632228867
28,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**2,0.0,m3,0.0
29,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**3,0.0,m3,0.0
30,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**4,29206.89880913706,m3,0.5116663632228867
31,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**5,29206.89880913706,m3,0.5116663632228867
32,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**6,29206.89880913706,m3,0.5116663632228867
33,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**7,29206.89880913706,m3,0.5116663632228867
34,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**8,29206.89880913706,m3,0.5116663632228867
35,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",6,10**9,29206.89880913706,m3,0.5116663632228867
36,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",7,10**1,0.0,m3,0.0
37,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",7,10**10,36907.935310288514,m3,0.6017780654508934
38,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",7,10**11,36907.935310288514,m3,0.6017780654508934
