,case,note_names,periods_considered,tension_score,chord_label,normalized_tension_score
0,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",4,8513.101363738022,Adim1st,0.18356305511705767
1,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",5,14062.446110989142,Adim1st,0.24241315163011953
2,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",6,14062.446110989142,Adim1st,0.10462908057415082
3,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",7,16944.509399332892,Adim1st,0.1315850468901072
4,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,37060.37850756015,Adim1st,0.33923895363175777
5,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,37060.37850756015,Adim1st,0.25669152983419175
6,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,101803.24854883472,Adim1st,0.8464516485785107
7,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,101803.24854883472,Adim1st,0.8464516485785107
8,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",12,101803.24854883472,Adim1st,0.7795225479684385
9,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",13,101803.24854883472,Adim1st,0.3261269449754898
10,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",14,101803.24854883472,Adim1st,0.3261269449754898
11,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",15,101803.24854883472,Adim1st,0.028395999659121846
12,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",16,101803.24854883472,Adim1st,0.010293885016754227
13,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",17,218722.3877584714,Adim1st,0.07078628761531848
14,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",18,218722.3877584714,Adim1st,0.061571715553721346
15,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",19,218722.3877584714,Adim1st,0.061571715553721346
16,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",20,218722.3877584714,Adim1st,0.061571715553721346
17,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",21,218722.3877584714,Adim1st,0.061571715553721346
18,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",22,218722.3877584714,Adim1st,0.061571715553721346
19,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",23,218722.3877584714,Adim1st,0.061571715553721346
20,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",24,218722.3877584714,Adim1st,0.030010637440721608
21,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",25,218722.3877584714,Adim1st,0.030010637440721608
22,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",26,218722.3877584714,Adim1st,0.030010637440721608
23,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",27,782948.3828486068,Adim1st,0.0345478233470387
24,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",28,782948.3828486068,Adim1st,0.0345478233470387
25,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",29,782948.3828486068,Adim1st,0.0345478233470387
26,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",30,782948.3828486068,Adim1st,0.030066958037601246
27,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",31,782948.3828486068,Adim1st,0.030066958037601246
28,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",32,782948.3828486068,Adim1st,0.030066958037601246
29,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",4,11181.24221444342,Cdim,0.4625279294380351
30,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",5,11181.24221444342,Cdim,0.0
31,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",6,14659.164857233209,Cdim,0.12844385268168224
32,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",7,26719.032175434964,Cdim,0.36527812483880645
33,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",8,26719.032175434964,Cdim,0.2023051555016157
34,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",9,26719.032175434964,Cdim,0.10265089356855871
35,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",10,26719.032175434964,Cdim,0.07115775294933921
36,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",11,26719.032175434964,Cdim,0.07115775294933921
37,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",12,26719.032175434964,Cdim,0.0
38,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",13,129205.5703961083,Cdim,0.48452173673672827
39,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",14,149846.88839280404,Cdim,0.6038356140054686
40,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",15,149846.88839280404,Cdim,0.05279849102969844
41,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",16,149846.88839280404,Cdim,0.035151023235423864
42,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",17,149846.88839280404,Cdim,0.035151023235423864
43,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",18,149846.88839280404,Cdim,0.025583073143362764
44,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",19,149846.88839280404,Cdim,0.025583073143362764
45,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",20,149846.88839280404,Cdim,0.025583073143362764
46,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",21,149846.88839280404,Cdim,0.025583073143362764
47,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",22,149846.88839280404,Cdim,0.025583073143362764
48,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",23,149846.88839280404,Cdim,0.025583073143362764
49,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",24,388643.64150577754,Cdim,0.12178350244781821
50,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",25,388643.64150577754,Cdim,0.12178350244781821
51,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",26,388643.64150577754,Cdim,0.12178350244781821
52,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",27,388643.64150577754,Cdim,0.008692464161545253
53,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",28,388643.64150577754,Cdim,0.008692464161545253
54,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",29,388643.64150577754,Cdim,0.008692464161545253
55,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",30,388643.64150577754,Cdim,0.004091598726944716
56,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",31,619985.6020293453,Cdim,0.01933156395730619
57,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,F#4",32,619985.6020293453,Cdim,0.01933156395730619
58,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",4,8233.115561215076,G#M1st,0.15428941156416126
59,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",5,12101.732659375917,G#M1st,0.07744644177005977
60,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",6,12101.732659375917,G#M1st,0.026377903931475488
61,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",7,12101.732659375917,G#M1st,0.015802064119236143
62,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",8,31546.423838847582,G#M1st,0.266226530369353
63,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",9,41087.437597071024,G#M1st,0.3166770215201738
64,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",10,41087.437597071024,G#M1st,0.21952098494900124
65,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",11,45897.18715883778,G#M1st,0.2691848111811136
66,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",12,45897.18715883778,G#M1st,0.19910714874680469
67,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",13,45897.18715883778,G#M1st,0.0029707904928858555
68,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",14,45897.18715883778,G#M1st,0.0029707904928858555
69,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",15,45897.18715883778,G#M1st,0.0
70,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",16,236626.98488221774,G#M1st,0.08004988726971526
71,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",17,236626.98488221774,G#M1st,0.08004988726971526
72,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",18,236626.98488221774,G#M1st,0.07092717793617254
73,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,G#4",19,507020.87334716815,G#M1st,0.2122126720746323
