,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
0,0.6033797729086818,"[0.0, 0.1310116144078594, 0.11467511762126212, 0.19511567756893125, 0.15861995117587668, 0.1597428239254548, 0.08521910176579284, 0.1580093145386703, 0.16724794352536118, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.029013951485233072,Smallest_delta_t_and_choose_top_3_t_sub,4
1,0.5638206239594716,"[0.0, 0.041622680076453436, 0.040296385875744606, 0.04801992628497836, 0.04827081182832273, 0.07566291657764933, 0.08521910176579284, 0.0957976070652699, 0.04497675562319077, 0.06311042439940451, 0.25777164878007836, 0.05129848289180853, 1.0]",0.044762401434365044,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),4
2,0.55912319908674,"[0.0, 0.041622680076453436, 0.040296385875744606, 0.08058194313796654, 0.09461247217482213, 0.07566291657764933, 0.08521910176579284, 0.11815449409492772, 0.06348395998370564, 0.06311042439940451, 0.25777164878007836, 0.05129848289180853, 1.0]",0.046973169648603104,Smallest_ratio_and_filter_by_smallest_t_sub,4
3,0.6616280332907364,"[0.0, 0.2040163720794325, 0.20073959717939213, 0.28386958825835246, 0.30759140458540474, 0.2750689305931321, 0.2919231093383887, 0.3437360820381354, 0.2519602349254851, 0.2512178823240983, 0.5077121711955292, 0.22649168393521324, 1.0]",0.013776782454178847,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,4
4,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,4
5,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,4
6,0.6620917083697064,"[0.0, 0.2014916621224196, 0.11467511762126212, 0.19511567756893125, 0.33969988867143197, 0.3394318443354945, 0.26630532260703244, 0.2114467276031425, 0.16724794352536118, 0.3535948847042967, 0.25777164878007836, 0.3499678318300798, 1.0]",0.013687121451854543,Smallest_delta_t_and_choose_top_3_t_sub,5
7,0.5529832470224332,"[0.0, 0.041622680076453436, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.07566291657764933, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.06311042439940451, 0.25777164878007836, 0.05129848289180853, 1.0]",0.0499796791023599,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),5
8,0.5904046180977602,"[0.0, 0.1310116144078594, 0.14417688192210004, 0.19511567756893125, 0.09461247217482213, 0.1597428239254548, 0.10435224599520958, 0.1580093145386703, 0.16724794352536118, 0.2023952518623577, 0.21806822202321582, 0.18238764679065278, 1.0]",0.03363936015064489,Smallest_ratio_and_filter_by_smallest_t_sub,5
9,0.6935556465989141,"[0.0, 0.3619552657551198, 0.3797063100899168, 0.4417190029520252, 0.30759140458540474, 0.39967840062412024, 0.32303598250846544, 0.39750385474693234, 0.4089595866651877, 0.4498835981255126, 0.46697775324228863, 0.4270686675356234, 1.0]",0.00856033070582233,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,5
